Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
11;10000;9971;158190;3635167.0;52934;0;15865.008524721692;364573.9644970414;noop;4.219175E7;969892;43.50149294973048;[ 51.14387761552563 48.85612238447437 ];
12;10000;9977;154354;3973793.0;28276;0;15470.983261501453;398295.37937255687;( drop 6 );3.58354E7;795836;45.0286239878568;[ 43.28297290643585 56.71702709356415 ];
13;10000;9981;163880;4062115.0;27338;0;16419.196473299267;406984.77106502355;noop;4.48573E7;959720;46.739986662776644;[ 44.94935318525751 55.05064681474249 ];
14;10000;9984;232629;3226067.0;167161;0;23300.18028846154;323123.6979166667;( drop 5 );4747550.0;102663;46.24402170207377;[ 54.591001121958136 45.408998878041864 ];
15;10000;9981;218653;3436702.0;131733;0;21906.923153992586;344324.41639114317;noop;1.487685E7;320813;46.37234151982619;[ 53.57918711382876 46.42081288617124 ];
16;10000;9974;199438;4141285.0;46342;0;19995.78905153399;415208.04090635653;( drop 4 );1.743725E7;332723;52.407708514289666;[ 42.21612731776291 57.78387268223709 ];
17;10000;9969;202660;4599625.0;16418;0;20329.019961881833;461392.81773497845;noop;2.863915E7;535383;53.49282663065507;[ 44.72564887002862 55.27435112997138 ];
18;10000;9977;214762;4851269.0;14564;0;21525.709131001302;486245.2641074471;( drop 2 );2.34332E7;444119;52.763335952751405;[ 45.14043452752349 54.85956547247651 ];
19;10000;9989;230967;4718593.0;26381;0;23122.13434778256;472378.91680848936;noop;3.6146E7;675085;53.54288719198323;[ 44.95793771404573 55.04206228595427 ];
20;10000;9992;253772;5708152.0;1131;0;25397.51801441153;571272.2177742193;( drop 6 );2.702905E7;525877;51.39804555057552;[ 48.410778178837695 51.589221821162305 ];
21;10000;9996;263750;5753817.0;367;0;26385.554221688675;575611.9447779112;noop;4.03888E7;789763;51.14040541276307;[ 49.381042654028434 50.618957345971566 ];
22;10000;9994;286525;5717645.0;8838;0;28669.701821092654;572107.7646587953;( drop 6 );1.47189E7;284794;51.682619718112036;[ 48.435215077218395 51.564784922781605 ];
23;10000;9998;294245;5847008.0;490;0;29430.386077215444;584817.7635527105;noop;2.957975E7;579038;51.08429843982606;[ 49.494978674234055 50.505021325765945 ];
24;10000;9998;308711;5826469.0;611;0;30877.275455091018;582763.4526905381;( drop 2 );2.162215E7;424536;50.931252002185914;[ 49.246868430344236 50.753131569655764 ];
25;10000;9998;314583;5609548.0;1088;0;31464.592918583716;561067.0134026805;noop;3.77146E7;742150;50.81802870039749;[ 49.40365499725033 50.59634500274967 ];
26;10000;9998;325861;5439111.0;1205;0;32592.61852370474;544019.9039807961;( drop 7 );1.68706E7;327751;51.473832269009094;[ 48.73903290053121 51.26096709946879 ];
27;10000;9999;341485;5444504.0;514;0;34151.915191519154;544504.8504850485;noop;3.420635E7;669266;51.11024615026014;[ 49.24213362226745 50.75786637773255 ];
28;10000;9998;374106;5544454.0;140;0;37418.08361672334;554556.3112622525;( drop 7 );5.26224E7;1037281;50.73109408154589;[ 49.22027446766425 50.77972553233575 ];
29;10000;9998;385314;5382225.0;39;0;38539.107821564314;538330.1660332066;noop;7.2151E7;1422600;50.71769998594124;[ 49.31860768100822 50.68139231899178 ];
30;10000;9999;428033;5547789.0;377;0;42807.580758075805;554834.3834383439;( drop 2 );3.114085E7;616025;50.551276328071104;[ 49.343041307562736 50.656958692437264 ];
31;10000;9998;486273;5832521.0;57;0;48637.027405481094;583368.773754751;noop;5.54747E7;1102297;50.32645466693641;[ 49.95845954844295 50.04154045155705 ];
32;10000;9998;537811;5900433.0;85;0;53791.85837167434;590161.3322664533;( drop 1 );8.186955E7;1633342;50.123948321906866;[ 49.74470585391522 50.25529414608478 ];
33;10000;9999;575603;5755772.0;0;0;57566.05660566057;575634.7634763477;noop;1.106472E8;2208944;50.090541000586704;[ 50.00434327131721 49.99565672868279 ];
34;10000;9998;655003;5885691.0;5;0;65513.402680536106;588686.8373674735;( drop 2 );4.775475E7;953447;50.08642326212154;[ 49.78221473794777 50.21778526205223 ];
35;10000;9998;747790;5982235.0;0;0;74793.95879175836;598343.1686337268;noop;8.514335E7;1701236;50.04793573613537;[ 50.00113668275853 49.99886331724147 ];
36;10000;9999;810711;5632241.0;1;0;81079.20792079208;563280.4280428042;( drop 3 );4.140895E7;815556;50.77388922403857;[ 49.32195319910548 50.67804680089452 ];
